value,score,term,model
29,0,age,6m
30,0,age,6m
31,0,age,6m
32,0,age,6m
33,0,age,6m
34,0,age,6m
35,0,age,6m
36,1.8,age,6m
37,3.6,age,6m
38,5.4,age,6m
39,7.2,age,6m
40,9,age,6m
41,10.8,age,6m
42,12.6,age,6m
43,14.4,age,6m
44,16.2,age,6m
45,18,age,6m
46,19.8,age,6m
47,21.6,age,6m
48,23.4,age,6m
49,25.2,age,6m
50,27,age,6m
51,28.8,age,6m
52,30.6,age,6m
53,32.4,age,6m
54,34.2,age,6m
55,36,age,6m
56,37.8,age,6m
57,39.6,age,6m
58,41.4,age,6m
59,43.2,age,6m
60,45,age,6m
61,46.8,age,6m
62,48.6,age,6m
63,50.4,age,6m
64,52.2,age,6m
65,54,age,6m
66,55.9,age,6m
67,57.8,age,6m
68,59.7,age,6m
69,61.6,age,6m
70,63.5,age,6m
71,65.4,age,6m
72,67.3,age,6m
73,69.2,age,6m
74,71.1,age,6m
75,73,age,6m
76,74.8,age,6m
77,76.6,age,6m
78,78.4,age,6m
79,80.2,age,6m
80,82,age,6m
81,83.8,age,6m
82,85.6,age,6m
83,87.4,age,6m
84,89.2,age,6m
85,91,age,6m
86,92.8,age,6m
87,94.6,age,6m
88,96.4,age,6m
89,98.2,age,6m
90,100,age,6m
91,100,age,6m
92,100,age,6m
93,100,age,6m
94,100,age,6m
95,100,age,6m
96,100,age,6m
97,100,age,6m
98,100,age,6m
99,100,age,6m
100,100,age,6m
49,0,pulse,6m
59.5,0,pulse,6m
74.5,1.35,pulse,6m
84.5,3.9,pulse,6m
94.5,6.35,pulse,6m
104.5,8.9,pulse,6m
119.5,12.85,pulse,6m
139.5,18.85,pulse,6m
174.5,34.37,pulse,6m
200,34.0,pulse,6m
79,40,sbp,6m
89.5,37.15,sbp,6m
104.5,32.65,sbp,6m
114.5,29.2,sbp,6m
124.5,25.65,sbp,6m
134.5,22.65,sbp,6m
149.5,16.2,sbp,6m
169.5,11.15,sbp,6m
180,8.0,sbp,6m
0.195,0.975,creatinine,6m
0.595,3.975,creatinine,6m
0.995,6.975,creatinine,6m
1.395,9.95,creatinine,6m
1.795,12.95,creatinine,6m
2.995,20.965,creatinine,6m
4.0,28,creatinine,6m
1,0,killip,6m
2,15,killip,6m
3,29,killip,6m
4,44,killip,6m
0,0,arrest,6m
1,30,arrest,6m
0,0,enzymes,6m
1,13,enzymes,6m
0,0,stemi,6m
1,17,stemi,6m
29,1.193553,age,1y
30,1.23471,age,1y
31,1.275867,age,1y
32,1.317024,age,1y
33,1.358181,age,1y
34,1.399338,age,1y
35,1.440495,age,1y
36,1.481652,age,1y
37,1.522809,age,1y
38,1.563966,age,1y
39,1.605123,age,1y
40,1.64628,age,1y
41,1.687437,age,1y
42,1.728594,age,1y
43,1.769751,age,1y
44,1.810908,age,1y
45,1.852065,age,1y
46,1.893222,age,1y
47,1.934379,age,1y
48,1.975536,age,1y
49,2.0167005,age,1y
50,2.0579297,age,1y
51,2.0993009,age,1y
52,2.1408916,age,1y
